wavenumber_cm-1,intensity
81757.434436,0.000000
81783.750225,0.013045
81810.066015,0.000000
81836.381804,0.018573
81862.697594,0.135112
81889.013383,0.000000
81915.329173,0.103459
81941.644962,0.132266
81967.960752,0.000000
81994.276541,0.000000
82020.592331,0.026660
82046.908120,0.000000
82073.223909,0.164978
82099.539699,0.003073
82125.855488,0.000000
82152.171278,0.000000
82178.487067,0.096227
82204.802857,0.000000
82231.118646,0.003870
82257.434436,0.084387
82257.434436,0.000000
82257.436937,0.000000
82257.439439,0.000000
82257.441940,0.060330
82257.444442,0.052157
82257.446944,0.000000
82257.449445,0.005620
82257.451947,0.000000
82257.454448,0.000000
82257.456950,0.022743
82257.459451,0.167061
82257.461953,0.000000
82257.464455,0.000000
82257.466956,0.000000
82257.469458,0.063974
82257.471959,0.039597
82257.474461,0.000000
82257.476962,0.000000
82257.479464,0.008156
82257.481965,0.000000
82257.484467,0.012663
82257.486969,0.076946
82257.489470,0.000000
82257.491972,0.000000
82257.494473,0.139448
82257.496975,0.000000
82257.499476,0.100292
82257.501978,0.000000
82257.504480,0.000000
82257.506981,0.038707
82257.509483,0.000000
82257.511984,0.011698
82257.514486,0.000000
82257.516987,0.000000
82257.519489,0.029796
82257.521991,0.000000
82257.524492,0.000000
82257.526994,0.000000
82257.529495,0.140504
82257.531997,0.077405
82257.534498,0.085125
82257.537000,0.000000
82257.539501,0.000000
82257.542003,0.172422
82257.544505,0.000000
82257.547006,0.000000
82257.549508,0.036799
82257.552009,0.103044
82257.554511,0.000000
82257.557012,0.112885
82257.559514,0.095618
82257.562016,0.000000
82257.564517,0.000000
82257.567019,0.084540
82257.569520,0.000000
82257.572022,0.000000
82257.574523,0.000000
82257.577025,0.000000
82257.579526,0.000000
82257.582028,0.000000
82257.584530,0.000000
82257.587031,0.000000
82257.589533,0.202352
82257.592034,0.164877
82257.594536,0.000000
82257.597037,0.139684
82257.599539,0.000000
82257.602041,0.011406
82257.604542,0.000000
82257.607044,0.000000
82257.609545,0.086864
82257.612047,0.011114
82257.614548,0.000000
82257.617050,0.000000
82257.619551,0.000000
82257.622053,0.000000
82257.624555,0.001079
82257.627056,0.000000
82257.629558,0.000000
82257.632059,0.120966
82257.634561,0.105886
82257.637062,0.000000
82257.639564,0.000000
82257.642066,0.165973
82257.644567,0.045977
82257.647069,0.000000
82257.649570,0.000000
82257.652072,0.034775
82257.654573,0.073221
82257.657075,0.000000
82257.659576,0.025710
82257.662078,0.000000
82257.664580,0.000000
82257.667081,0.000000
82257.669583,0.000000
82257.672084,0.085585
82257.674586,0.000000
