wavenumber_cm-1,intensity
81756.683711,0.000000
81782.999500,0.000000
81809.315290,0.000000
81835.631079,0.000000
81861.946869,0.009888
81888.262658,0.004880
81914.578448,0.021842
81940.894237,0.000000
81967.210027,0.006999
81993.525816,0.011386
82019.841606,0.033651
82046.157395,0.002079
82072.473184,0.000000
82098.788974,0.012179
82125.104763,0.026798
82151.420553,0.000000
82177.736342,0.012081
82204.052132,0.017648
82230.367921,0.014608
82256.683711,0.001803
82256.683711,0.000000
82256.686213,0.000000
82256.688714,0.006587
82256.691216,0.013045
82256.693718,0.004797
82256.696220,0.000000
82256.698722,0.007977
82256.701223,0.012354
82256.703725,0.005452
82256.706227,0.000000
82256.708729,0.000000
82256.711231,0.013614
82256.713732,0.000000
82256.716234,0.000000
82256.718736,0.021661
82256.721238,0.007346
82256.723740,0.008715
82256.726241,0.000000
82256.728743,0.010593
82256.731245,0.003953
82256.733747,0.000000
82256.736249,0.020457
82256.738750,0.002279
82256.741252,0.000000
82256.743754,0.000000
82256.746256,0.000000
82256.748757,0.008522
82256.751259,0.003761
82256.753761,0.000000
82256.756263,0.018363
82256.758765,0.000000
82256.761266,0.000000
82256.763768,0.000000
82256.766270,0.000000
82256.768772,0.000969
82256.771274,0.006176
82256.773775,0.000000
82256.776277,0.000000
82256.778779,0.024216
82256.781281,0.034639
82256.783783,0.002058
82256.786284,0.000000
82256.788786,0.021192
82256.791288,0.000000
82256.793790,0.000000
82256.796292,0.000000
82256.798793,0.000000
82256.801295,0.000000
82256.803797,0.000000
82256.806299,0.000182
82256.808801,0.000390
82256.811302,0.000000
82256.813804,0.000000
82256.816306,0.000000
82256.818808,0.011632
82256.821310,0.000000
82256.823811,0.011845
82256.826313,0.008414
82256.828815,0.008209
82256.831317,0.019934
82256.833819,0.000000
82256.836320,0.000000
82256.838822,0.025327
82256.841324,0.000000
82256.843826,0.000000
82256.846328,0.000000
82256.848829,0.001938
82256.851331,0.000000
82256.853833,0.019160
82256.856335,0.000000
82256.858837,0.004719
82256.861338,0.000000
82256.863840,0.000000
82256.866342,0.000000
82256.868844,0.000000
82256.871346,0.015594
82256.873847,0.000000
82256.876349,0.000000
82256.878851,0.000000
82256.881353,0.017180
82256.883854,0.021031
82256.886356,0.017017
82256.888858,0.007073
82256.891360,0.004163
82256.893862,0.000000
82256.896363,0.000000
82256.898865,0.000000
82256.901367,0.000000
82256.903869,0.015182
82256.906371,0.000000
82256.908872,0.017177
82256.911374,0.012665
82256.913876,0.007996
82256.916378,0.008803
82256.918880,0.000000
82256.921381,0.026685
82256.923883,0.000619
82256.926385,0.004337
82256.928887,0.000000
82256.931389,0.000000
82256.933890,0.006855
82256.936392,0.003124
82256.938894,0.000000
82256.941396,0.000000
82256.943898,0.000000
82256.946399,0.017180
82256.948901,0.000000
82256.951403,0.000000
82256.953905,0.020831
82256.956407,0.000000
82256.958908,0.000000
82256.961410,0.000000
82256.963912,0.023241
82256.966414,0.028631
82256.968916,0.010795
82256.971417,0.011252
82256.973919,0.000000
82256.976421,0.027970
82256.978923,0.003845
82256.981425,0.012253
82256.983926,0.000000
82256.986428,0.000000
82256.988930,0.023887
82256.991432,0.007752
82256.993934,0.020846
82256.996435,0.003667
82256.998937,0.000000
82257.001439,0.000000
82257.003941,0.001479
82257.006443,0.000000
82257.008944,0.000000
82257.011446,0.017256
82257.013948,0.000000
82257.016450,0.001985
82257.018951,0.004253
82257.021453,0.000000
82257.023955,0.020838
82257.026457,0.000000
82257.028959,0.003758
82257.031460,0.003535
82257.033962,0.000000
82257.036464,0.000000
82257.038966,0.012508
82257.041468,0.010679
82257.043969,0.000000
82257.046471,0.010162
82257.048973,0.005385
82257.051475,0.000000
82257.053977,0.000000
82257.056478,0.016349
82257.058980,0.004444
82257.061482,0.000000
82257.063984,0.000000
82257.066486,0.000000
82257.068987,0.000000
82257.071489,0.000000
82257.073991,0.000000
82257.076493,0.016374
82257.078995,0.013941
82257.081496,0.000000
82257.083998,0.001958
82257.086500,0.000000
82257.089002,0.000000
82257.091504,0.000000
82257.094005,0.000000
82257.096507,0.028769
82257.099009,0.000000
82257.101511,0.000000
82257.104013,0.000000
82257.106514,0.014992
82257.109016,0.000000
82257.111518,0.000000
82257.114020,0.020781
82257.116522,0.003504
82257.119023,0.002757
82257.121525,0.030624
82257.124027,0.003538
82257.126529,0.000000
82257.129031,0.000000
82257.131532,0.000000
82257.134034,0.018039
82257.136536,0.008253
82257.139038,0.016150
82257.141540,0.017422
82257.144041,0.000000
82257.146543,0.000000
82257.149045,0.000000
82257.151547,0.000000
82257.154048,0.002369
82257.156550,0.016260
82257.159052,0.000000
82257.161554,0.002154
82257.164056,0.000000
82257.166557,0.011530
82257.169059,0.000000
82257.171561,0.000000
82257.174063,0.006763
82257.176565,0.014188
82257.179066,0.006411
82257.181568,0.000000
82257.184070,0.000000
82257.186572,0.007103
82257.189074,0.002032
82257.191575,0.000000
82257.194077,0.026176
82257.196579,0.000000
82257.199081,0.025495
82257.201583,0.000457
82257.204084,0.000000
82257.206586,0.000000
82257.209088,0.013781
82257.211590,0.000000
82257.214092,0.000000
82257.216593,0.000000
82257.219095,0.000000
82257.221597,0.007064
82257.224099,0.011108
82257.226601,0.000000
82257.229102,0.000000
82257.231604,0.010868
82257.234106,0.000000
82257.236608,0.000000
82257.239110,0.000000
82257.241611,0.005056
82257.244113,0.004440
82257.246615,0.000000
82257.249117,0.000073
82257.251619,0.021934
82257.254120,0.000000
82257.256622,0.000000
82257.259124,0.006536
82257.261626,0.000000
82257.264128,0.000000
82257.266629,0.009366
82257.269131,0.012054
82257.271633,0.000000
82257.274135,0.000000
82257.276637,0.033287
82257.279138,0.008380
82257.281640,0.009711
82257.284142,0.016846
82257.286644,0.000245
82257.289145,0.011443
82257.291647,0.010314
82257.294149,0.007742
82257.296651,0.000000
82257.299153,0.002471
82257.301654,0.000000
82257.304156,0.000184
82257.306658,0.000000
82257.309160,0.000000
82257.311662,0.000000
82257.314163,0.000000
82257.316665,0.000000
82257.319167,0.000000
82257.321669,0.005778
82257.324171,0.013634
82257.326672,0.000000
82257.329174,0.019176
82257.331676,0.013481
82257.334178,0.007240
82257.336680,0.002207
82257.339181,0.004584
82257.341683,0.017050
82257.344185,0.017574
82257.346687,0.019174
82257.349189,0.000594
82257.351690,0.007971
82257.354192,0.019298
82257.356694,0.000000
82257.359196,0.000000
82257.361698,0.000230
82257.364199,0.012921
82257.366701,0.013145
82257.369203,0.000000
82257.371705,0.000000
82257.374207,0.003536
82257.376708,0.000000
82257.379210,0.000000
82257.381712,0.000000
82257.384214,0.004688
82257.386716,0.019549
82257.389217,0.000559
82257.391719,0.003036
82257.394221,0.016990
82257.396723,0.000000
82257.399225,0.007471
82257.401726,0.000000
82257.404228,0.008130
82257.406730,0.000000
82257.409232,0.000000
82257.411734,0.002018
82257.414235,0.023688
82257.416737,0.012365
82257.419239,0.000000
82257.421741,0.000000
82257.424242,0.000000
82257.426744,0.018903
82257.429246,0.000000
82257.431748,0.000000
82257.434250,0.018977
82257.436751,0.000000
82257.439253,0.021434
82257.441755,0.000000
82257.444257,0.000000
82257.446759,0.000000
82257.449260,0.000000
82257.451762,0.006332
82257.454264,0.000000
82257.456766,0.000000
82257.459268,0.000000
82257.461769,0.000000
82257.464271,0.002935
82257.466773,0.000000
82257.469275,0.000000
82257.471777,0.002623
82257.474278,0.000000
82257.476780,0.003597
82257.479282,0.009771
82257.481784,0.000000
82257.484286,0.000000
82257.486787,0.000000
82257.489289,0.003552
82257.491791,0.000000
82257.494293,0.000000
82257.496795,0.004535
82257.499296,0.016844
82257.501798,0.000000
82257.504300,0.000000
82257.506802,0.002370
