voltage_V,current_uA
-2.263,0.0747
-2.213,0.0453
-2.163,0.0628
-2.113,0.0
-2.063,0.0
-2.013,0.0946
-1.963,0.0
-1.913,0.0
-1.863,0.0837
-1.813,0.035
-1.763,0.0287
-1.713,0.1364
-1.663,0.0
-1.613,0.0585
-1.563,0.0036
-1.513,0.0169
-1.463,0.0963
-1.413,0.032
-1.363,0.0339
-1.313,0.0676
-1.263,0.0
-1.213,0.18
-1.163,0.3841
-1.113,0.5284
-1.063,0.9704
-1.013,0.9472
-0.963,1.1668
-0.913,1.3163
-0.863,1.4959
-0.813,1.6612
-0.763,1.7885
-0.713,1.8138
-0.663,1.9486
-0.613,2.0785
-0.563,2.14
-0.513,2.3457
-0.463,2.3585
-0.413,2.4517
-0.363,2.5201
-0.313,2.6206
-0.263,2.6221
-0.213,2.5891
-0.163,2.7524
-0.113,2.7392
-0.063,2.7968
-0.013,2.9138
0.037,2.999
0.087,2.9638
0.137,3.0211
0.187,3.1458
0.237,3.0885
0.287,3.2702
0.337,3.173
0.387,3.0559
0.437,3.2421
0.487,3.2451
0.537,3.3274
0.587,3.3124
0.637,3.2838
0.687,3.2369
0.737,3.3214
0.787,3.3005
0.837,3.3361
0.887,3.4276
0.937,3.5127
0.987,3.4486
1.037,3.364
1.087,3.4823
1.137,3.544
1.187,3.444
1.237,3.4872
1.287,3.5093
1.337,3.4712
1.387,3.5733
1.437,3.5362
1.487,3.5813
1.537,3.5096
1.587,3.5482
1.637,3.6313
1.687,3.5719
1.737,3.7136
1.787,3.5887
1.837,3.6368
1.887,3.69
1.937,3.5502
1.987,3.5367
2.037,3.5594
2.087,3.7427
2.137,3.6359
2.187,3.8391
2.237,3.6494
2.287,3.7035
2.337,3.7958
2.387,3.8316
2.437,3.8415
2.487,3.794
2.537,3.7886
2.587,3.7674
2.637,3.7849
2.687,3.7069
2.737,3.6957
2.787,3.7525
2.837,3.7473
2.887,3.7347
2.937,3.8123
2.987,3.8336
