voltage_V,current_uA
-4.33,0.0172
-4.28,0.0098
-4.23,0.0083
-4.18,0.0114
-4.13,0.0
-4.08,0.0077
-4.03,0.0097
-3.98,0.0
-3.93,0.0616
-3.88,0.0156
-3.83,0.0
-3.78,0.0217
-3.73,0.0
-3.68,0.026
-3.63,0.0382
-3.58,0.0
-3.53,0.0318
-3.48,0.0136
-3.43,0.0271
-3.38,0.0626
-3.33,0.0
-3.28,0.0833
-3.23,0.1795
-3.18,0.2756
-3.13,0.3872
-3.08,0.4822
-3.03,0.5556
-2.98,0.6442
-2.93,0.6829
-2.88,0.7916
-2.83,0.7918
-2.78,0.9434
-2.73,0.9239
-2.68,0.9212
-2.63,0.9573
-2.58,1.0489
-2.53,1.0632
-2.48,1.1294
-2.43,1.1544
-2.38,1.1672
-2.33,1.1705
-2.28,1.1755
-2.23,1.2361
-2.18,1.3029
-2.13,1.304
-2.08,1.2769
-2.03,1.3434
-1.98,1.369
-1.93,1.3447
-1.88,1.3954
-1.83,1.4079
-1.78,1.383
-1.73,1.4465
-1.68,1.4664
-1.63,1.4961
-1.58,1.5071
-1.53,1.4382
-1.48,1.4635
-1.43,1.5217
-1.38,1.5315
-1.33,1.5409
-1.28,1.6601
-1.23,1.5604
-1.18,1.5873
-1.13,1.5893
-1.08,1.5869
-1.03,1.5624
-0.98,1.605
-0.93,1.5614
-0.88,1.5858
-0.83,1.5841
-0.78,1.6091
-0.73,1.6889
-0.68,1.5569
-0.63,1.647
-0.58,1.5768
-0.53,1.62
-0.48,1.677
-0.43,1.6485
-0.38,1.616
-0.33,1.6331
-0.28,1.6842
-0.23,1.6426
-0.18,1.6787
-0.13,1.6778
-0.08,1.6596
-0.03,1.7565
0.02,1.7112
0.07,1.628
0.12,1.7055
0.17,1.6819
0.22,1.7363
0.27,1.6863
0.32,1.7129
0.37,1.7376
0.42,1.7537
0.47,1.6897
0.52,1.7223
0.57,1.7218
0.62,1.7199
0.67,1.8037
0.72,1.7628
0.77,1.7117
0.82,1.7875
0.87,1.831
0.92,1.7989
0.97,1.7184
1.02,1.7563
1.07,1.8178
1.12,1.7563
1.17,1.7979
1.22,1.8124
1.27,1.7598
1.32,1.7919
1.37,1.6904
1.42,1.767
1.47,1.7959
1.52,1.7664
1.57,1.8648
1.62,1.767
1.67,1.8029
1.72,1.825
1.77,1.8714
1.82,1.7796
1.87,1.8685
1.92,1.8335
1.97,1.8038
2.02,1.8545
2.07,1.8487
2.12,1.8253
2.17,1.8503
2.22,1.8381
2.27,1.8574
2.32,1.8783
2.37,1.9115
2.42,1.821
2.47,1.9349
2.52,1.8027
2.57,1.8647
2.62,1.8917
2.67,1.884
2.72,1.8567
2.77,1.8728
2.82,1.8658
2.87,1.865
2.92,1.9148
2.97,1.9008
3.02,1.8684
