voltage_V,current_uA
-3.09,0.0472
-3.04,0.0
-2.99,0.0
-2.94,0.0324
-2.89,0.0
-2.84,0.0184
-2.79,0.008
-2.74,0.0236
-2.69,0.0139
-2.64,0.1179
-2.59,0.0
-2.54,0.0
-2.49,0.0
-2.44,0.0
-2.39,0.0
-2.34,0.0571
-2.29,0.0682
-2.24,0.0
-2.19,0.0
-2.14,0.0226
-2.09,0.0
-2.04,0.1994
-1.99,0.3361
-1.94,0.4002
-1.89,0.6839
-1.84,0.8231
-1.79,0.8262
-1.74,0.9477
-1.69,1.0832
-1.64,1.1819
-1.59,1.2874
-1.54,1.4362
-1.49,1.4096
-1.44,1.4531
-1.39,1.4937
-1.34,1.5889
-1.29,1.6823
-1.24,1.8262
-1.19,1.7677
-1.14,1.8526
-1.09,1.8873
-1.04,1.9884
-0.99,2.0934
-0.94,1.9848
-0.89,2.0228
-0.84,2.1302
-0.79,2.1447
-0.74,2.2306
-0.69,2.1983
-0.64,2.1798
-0.59,2.2506
-0.54,2.2994
-0.49,2.3082
-0.44,2.3146
-0.39,2.3618
-0.34,2.386
-0.29,2.4146
-0.24,2.3969
-0.19,2.3744
-0.14,2.4053
-0.09,2.4713
-0.04,2.3887
0.01,2.4595
0.06,2.4362
0.11,2.4692
0.16,2.5415
0.21,2.5011
0.26,2.5055
0.31,2.4489
0.36,2.5605
0.41,2.5659
0.46,2.6486
0.51,2.5395
0.56,2.574
0.61,2.5845
0.66,2.6569
0.71,2.585
0.76,2.6112
0.81,2.635
0.86,2.6226
0.91,2.5998
0.96,2.6379
1.01,2.6874
1.06,2.5936
1.11,2.6562
1.16,2.6229
1.21,2.7205
1.26,2.5965
1.31,2.6491
1.36,2.7002
1.41,2.7633
1.46,2.691
1.51,2.6733
1.56,2.796
1.61,2.6419
1.66,2.6113
1.71,2.7434
1.76,2.7035
1.81,2.6839
1.86,2.772
1.91,2.7548
1.96,2.721
2.01,2.6915
2.06,2.7996
2.11,2.7937
2.16,2.7624
2.21,2.8603
2.26,2.7248
2.31,2.7074
2.36,2.7517
2.41,2.787
2.46,2.8051
2.51,2.7859
2.56,2.8185
2.61,2.7455
2.66,2.8788
2.71,2.8094
2.76,2.8708
2.81,2.8373
2.86,2.8465
2.91,2.8555
2.96,2.8532
3.01,2.866
