voltage_V,current_uA
-1.673,0.0
-1.623,0.0
-1.573,0.0
-1.523,0.0
-1.473,0.004
-1.423,0.0536
-1.373,0.0107
-1.323,0.0
-1.273,0.0
-1.223,0.0
-1.173,0.0291
-1.123,0.0
-1.073,0.0
-1.023,0.1054
-0.973,0.0099
-0.923,0.0
-0.873,0.0
-0.823,0.0379
-0.773,0.0037
-0.723,0.0
-0.673,0.0303
-0.623,0.0974
-0.573,0.2927
-0.523,0.3703
-0.473,0.4167
-0.423,0.564
-0.373,0.6082
-0.323,0.7126
-0.273,0.7738
-0.223,0.7983
-0.173,0.8689
-0.123,0.9838
-0.073,0.9945
-0.023,1.0444
0.027,1.0749
0.077,1.166
0.127,1.2627
0.177,1.1993
0.227,1.2727
0.277,1.3535
0.327,1.3371
0.377,1.3854
0.427,1.3642
0.477,1.4405
0.527,1.4456
0.577,1.5082
0.627,1.5373
0.677,1.6047
0.727,1.5583
0.777,1.5686
0.827,1.582
0.877,1.5805
0.927,1.6191
0.977,1.613
1.027,1.6423
1.077,1.6935
1.127,1.6294
1.177,1.7121
1.227,1.7292
1.277,1.6926
1.327,1.6366
1.377,1.6962
1.427,1.7683
1.477,1.7335
1.527,1.7096
1.577,1.7338
1.627,1.7858
1.677,1.7834
1.727,1.7644
1.777,1.7668
1.827,1.7723
1.877,1.7609
1.927,1.8505
1.977,1.7921
2.027,1.8483
2.077,1.8636
2.127,1.8513
2.177,1.8089
2.227,1.8411
2.277,1.8314
2.327,1.8067
2.377,1.8514
2.427,1.8058
2.477,1.8878
2.527,1.8371
2.577,1.8627
2.627,1.8689
2.677,1.8545
2.727,1.8857
2.777,1.8539
2.827,1.9015
2.877,1.8313
2.927,1.8829
2.977,1.9456
