voltage_V,current_uA
-2.263,0.0441
-2.213,0.0
-2.163,0.0128
-2.113,0.0154
-2.063,0.0
-2.013,0.0476
-1.963,0.0
-1.913,0.0
-1.863,0.0258
-1.813,0.0
-1.763,0.0014
-1.713,0.0
-1.663,0.0521
-1.613,0.0228
-1.563,0.0
-1.513,0.0393
-1.463,0.0667
-1.413,0.0268
-1.363,0.0005
-1.313,0.0
-1.263,0.0
-1.213,0.16
-1.163,0.3082
-1.113,0.4802
-1.063,0.6333
-1.013,0.7879
-0.963,0.8821
-0.913,1.0236
-0.863,1.1105
-0.813,1.1125
-0.763,1.2556
-0.713,1.381
-0.663,1.4113
-0.613,1.5743
-0.563,1.6902
-0.513,1.7418
-0.463,1.7354
-0.413,1.8756
-0.363,1.8659
-0.313,1.8938
-0.263,1.9286
-0.213,1.9886
-0.163,2.0268
-0.113,2.0934
-0.063,2.1302
-0.013,2.1578
0.037,2.2117
0.087,2.279
0.137,2.2968
0.187,2.2076
0.237,2.1824
0.287,2.3745
0.337,2.2874
0.387,2.3643
0.437,2.3398
0.487,2.3293
0.537,2.4606
0.587,2.4889
0.637,2.4417
0.687,2.3612
0.737,2.4747
0.787,2.5344
0.837,2.4585
0.887,2.5517
0.937,2.5549
0.987,2.5956
1.037,2.5853
1.087,2.544
1.137,2.6589
1.187,2.6042
1.237,2.6204
1.287,2.5865
1.337,2.6192
1.387,2.6069
1.437,2.6496
1.487,2.7483
1.537,2.6083
1.587,2.6044
1.637,2.7599
1.687,2.6865
1.737,2.6715
1.787,2.7603
1.837,2.6879
1.887,2.8111
1.937,2.7622
1.987,2.7123
2.037,2.8452
2.087,2.7183
2.137,2.7886
2.187,2.7728
2.237,2.8262
2.287,2.8439
2.337,2.7755
2.387,2.7427
2.437,2.8058
2.487,2.7559
2.537,2.8897
2.587,2.8041
2.637,2.7844
2.687,2.8151
2.737,2.7458
2.787,2.7679
2.837,2.8762
2.887,2.7909
2.937,2.7761
2.987,2.8559
