voltage_V,current_uA
-2.263,0.0035
-2.213,0.0
-2.163,0.0
-2.113,0.0106
-2.063,0.0
-2.013,0.0145
-1.963,0.0
-1.913,0.0182
-1.863,0.0074
-1.813,0.045
-1.763,0.0041
-1.713,0.0
-1.663,0.004
-1.613,0.0179
-1.563,0.0016
-1.513,0.0013
-1.463,0.0
-1.413,0.0
-1.363,0.0
-1.313,0.0577
-1.263,0.0
-1.213,0.0936
-1.163,0.2013
-1.113,0.3557
-1.063,0.4107
-1.013,0.5495
-0.963,0.5681
-0.913,0.6761
-0.863,0.7107
-0.813,0.8757
-0.763,0.8279
-0.713,0.9355
-0.663,1.0005
-0.613,1.044
-0.563,1.0717
-0.513,1.1179
-0.463,1.1652
-0.413,1.1979
-0.363,1.271
-0.313,1.3463
-0.263,1.287
-0.213,1.2902
-0.163,1.3607
-0.113,1.4753
-0.063,1.3885
-0.013,1.4925
0.037,1.5159
0.087,1.463
0.137,1.5196
0.187,1.573
0.237,1.5242
0.287,1.5464
0.337,1.5495
0.387,1.5499
0.437,1.5759
0.487,1.5702
0.537,1.6242
0.587,1.6096
0.637,1.654
0.687,1.6057
0.737,1.6782
0.787,1.7045
0.837,1.6206
0.887,1.7076
0.937,1.7443
0.987,1.672
1.037,1.7749
1.087,1.741
1.137,1.711
1.187,1.7394
1.237,1.7662
1.287,1.7567
1.337,1.7781
1.387,1.7358
1.437,1.7775
1.487,1.7308
1.537,1.7791
1.587,1.7581
1.637,1.7686
1.687,1.8385
1.737,1.8384
1.787,1.827
1.837,1.7753
1.887,1.8052
1.937,1.8598
1.987,1.8285
2.037,1.9043
2.087,1.8446
2.137,1.8416
2.187,1.8287
2.237,1.8469
2.287,1.8409
2.337,1.8727
2.387,1.8842
2.437,1.8299
2.487,1.815
2.537,1.8014
2.587,1.8818
2.637,1.8315
2.687,1.7998
2.737,1.8864
2.787,1.9586
2.837,1.8788
2.887,1.9093
2.937,1.8869
2.987,1.8835
