voltage_V,current_uA
-2.263,0.0069
-2.213,0.0077
-2.163,0.0185
-2.113,0.0043
-2.063,0.0
-2.013,0.0
-1.963,0.0
-1.913,0.0
-1.863,0.0131
-1.813,0.0009
-1.763,0.0132
-1.713,0.0
-1.663,0.0014
-1.613,0.0
-1.563,0.0165
-1.513,0.0062
-1.463,0.018
-1.413,0.0
-1.363,0.0376
-1.313,0.0
-1.263,0.0199
-1.213,0.0395
-1.163,0.1235
-1.113,0.1441
-1.063,0.199
-1.013,0.2886
-0.963,0.2917
-0.913,0.3373
-0.863,0.3848
-0.813,0.4114
-0.763,0.4363
-0.713,0.4692
-0.663,0.533
-0.613,0.5141
-0.563,0.5425
-0.513,0.58
-0.463,0.6018
-0.413,0.6227
-0.363,0.6311
-0.313,0.6161
-0.263,0.6821
-0.213,0.6471
-0.163,0.6873
-0.113,0.6815
-0.063,0.7064
-0.013,0.7251
0.037,0.736
0.087,0.7482
0.137,0.7795
0.187,0.7678
0.237,0.7639
0.287,0.7939
0.337,0.8058
0.387,0.7696
0.437,0.8094
0.487,0.8179
0.537,0.8062
0.587,0.8422
0.637,0.8204
0.687,0.8308
0.737,0.8305
0.787,0.8388
0.837,0.8234
0.887,0.8217
0.937,0.8806
0.987,0.8407
1.037,0.842
1.087,0.8248
1.137,0.8557
1.187,0.8468
1.237,0.9035
1.287,0.8953
1.337,0.8678
1.387,0.9237
1.437,0.9036
1.487,0.8829
1.537,0.8464
1.587,0.9352
1.637,0.8714
1.687,0.8692
1.737,0.9196
1.787,0.9474
1.837,0.9306
1.887,0.918
1.937,0.9206
1.987,0.9273
2.037,0.9275
2.087,0.9209
2.137,0.9195
2.187,0.9183
2.237,0.9077
2.287,0.9179
2.337,0.8942
2.387,0.9245
2.437,0.9101
2.487,0.9096
2.537,0.9342
2.587,0.9576
2.637,0.9505
2.687,0.9071
2.737,0.919
2.787,0.9551
2.837,0.9218
2.887,0.9368
2.937,0.952
2.987,0.9259
