voltage_V,current_uA
-1.673,0.0
-1.623,0.0
-1.573,0.0247
-1.523,0.0086
-1.473,0.0168
-1.423,0.0235
-1.373,0.0305
-1.323,0.0533
-1.273,0.0197
-1.223,0.0
-1.173,0.0323
-1.123,0.0912
-1.073,0.0
-1.023,0.0
-0.973,0.0531
-0.923,0.0
-0.873,0.0
-0.823,0.0407
-0.773,0.0
-0.723,0.0
-0.673,0.0159
-0.623,0.1884
-0.573,0.3803
-0.523,0.4811
-0.473,0.6718
-0.423,0.7701
-0.373,0.9444
-0.323,1.0563
-0.273,1.0918
-0.223,1.2915
-0.173,1.3095
-0.123,1.4635
-0.073,1.526
-0.023,1.6748
0.027,1.6489
0.077,1.7112
0.127,1.791
0.177,1.8372
0.227,1.9462
0.277,1.8828
0.327,1.959
0.377,2.0044
0.427,2.1446
0.477,2.2217
0.527,2.1727
0.577,2.2054
0.627,2.2506
0.677,2.3347
0.727,2.2642
0.777,2.3483
0.827,2.4101
0.877,2.4123
0.927,2.4209
0.977,2.4822
1.027,2.3254
1.077,2.5076
1.127,2.4625
1.177,2.4238
1.227,2.5532
1.277,2.6106
1.327,2.5533
1.377,2.6202
1.427,2.6656
1.477,2.6644
1.527,2.6925
1.577,2.6614
1.627,2.6407
1.677,2.5711
1.727,2.6466
1.777,2.6279
1.827,2.7821
1.877,2.6786
1.927,2.7017
1.977,2.7306
2.027,2.7143
2.077,2.8014
2.127,2.6976
2.177,2.7441
2.227,2.706
2.277,2.685
2.327,2.7255
2.377,2.7593
2.427,2.7465
2.477,2.7397
2.527,2.7111
2.577,2.7801
2.627,2.7172
2.677,2.831
2.727,2.8035
2.777,2.7344
2.827,2.7942
2.877,2.7775
2.927,2.8334
2.977,2.8867
