voltage_V,current_uA
-3.09,0.0837
-3.04,0.0124
-2.99,0.0447
-2.94,0.0
-2.89,0.0907
-2.84,0.0
-2.79,0.1135
-2.74,0.0
-2.69,0.0
-2.64,0.0081
-2.59,0.0
-2.54,0.053
-2.49,0.0
-2.44,0.0
-2.39,0.0
-2.34,0.0
-2.29,0.0
-2.24,0.0
-2.19,0.0479
-2.14,0.0495
-2.09,0.0268
-2.04,0.1644
-1.99,0.4321
-1.94,0.6304
-1.89,0.7398
-1.84,1.0772
-1.79,1.1961
-1.74,1.2744
-1.69,1.4277
-1.64,1.5676
-1.59,1.5457
-1.54,1.7707
-1.49,1.8479
-1.44,1.9254
-1.39,2.0622
-1.34,2.2786
-1.29,2.2856
-1.24,2.2841
-1.19,2.4262
-1.14,2.544
-1.09,2.5756
-1.04,2.5789
-0.99,2.5887
-0.94,2.7244
-0.89,2.7531
-0.84,2.8299
-0.79,2.8559
-0.74,2.9221
-0.69,2.86
-0.64,3.0124
-0.59,2.9755
-0.54,3.1256
-0.49,2.9816
-0.44,3.163
-0.39,3.0932
-0.34,3.0655
-0.29,3.1005
-0.24,3.1341
-0.19,3.2032
-0.14,3.2306
-0.09,3.1818
-0.04,3.2357
0.01,3.3907
0.06,3.3823
0.11,3.318
0.16,3.3092
0.21,3.3301
0.26,3.3763
0.31,3.2878
0.36,3.3501
0.41,3.2748
0.46,3.4182
0.51,3.4465
0.56,3.3876
0.61,3.5291
0.66,3.3643
0.71,3.3606
0.76,3.4779
0.81,3.5404
0.86,3.5909
0.91,3.466
0.96,3.5728
1.01,3.512
1.06,3.513
1.11,3.5887
1.16,3.5831
1.21,3.4515
1.26,3.6525
1.31,3.6548
1.36,3.5367
1.41,3.6092
1.46,3.6233
1.51,3.6164
1.56,3.573
1.61,3.5728
1.66,3.6209
1.71,3.7036
1.76,3.6711
1.81,3.6205
1.86,3.6993
1.91,3.478
1.96,3.7365
2.01,3.561
2.06,3.6542
2.11,3.6128
2.16,3.6079
2.21,3.7687
2.26,3.6721
2.31,3.7293
2.36,3.7103
2.41,3.749
2.46,3.7294
2.51,3.6492
2.56,3.7982
2.61,3.7097
2.66,3.6479
2.71,3.7242
2.76,3.8507
2.81,3.8147
2.86,3.7441
2.91,3.7488
2.96,3.7553
3.01,3.911
