voltage_V,current_uA
-1.673,0.0016
-1.623,0.0266
-1.573,0.0
-1.523,0.0
-1.473,0.0
-1.423,0.0
-1.373,0.0
-1.323,0.0
-1.273,0.0272
-1.223,0.0114
-1.173,0.0
-1.123,0.0334
-1.073,0.022
-1.023,0.0105
-0.973,0.0
-0.923,0.0
-0.873,0.0
-0.823,0.0196
-0.773,0.0339
-0.723,0.0278
-0.673,0.0
-0.623,0.0396
-0.573,0.118
-0.523,0.1355
-0.473,0.2215
-0.423,0.2582
-0.373,0.2946
-0.323,0.3135
-0.273,0.3881
-0.223,0.4035
-0.173,0.424
-0.123,0.4232
-0.073,0.5023
-0.023,0.5608
0.027,0.5831
0.077,0.5678
0.127,0.5865
0.177,0.6257
0.227,0.618
0.277,0.6589
0.327,0.6836
0.377,0.7073
0.427,0.6978
0.477,0.7095
0.527,0.7101
0.577,0.723
0.627,0.745
0.677,0.7663
0.727,0.786
0.777,0.7645
0.827,0.8146
0.877,0.7912
0.927,0.8036
0.977,0.7979
1.027,0.7747
1.077,0.8409
1.127,0.8446
1.177,0.8322
1.227,0.8441
1.277,0.8575
1.327,0.8252
1.377,0.8486
1.427,0.877
1.477,0.8445
1.527,0.8766
1.577,0.8508
1.627,0.8874
1.677,0.882
1.727,0.8571
1.777,0.9104
1.827,0.8794
1.877,0.8811
1.927,0.9022
1.977,0.9221
2.027,0.8858
2.077,0.9078
2.127,0.9169
2.177,0.924
2.227,0.9171
2.277,0.9095
2.327,0.9034
2.377,0.9219
2.427,0.9031
2.477,0.8717
2.527,0.9341
2.577,0.9443
2.627,0.8873
2.677,0.9133
2.727,0.9443
2.777,0.9718
2.827,0.9367
2.877,0.9248
2.927,0.9361
2.977,0.9655
