voltage_V,current_uA
-1.673,0.0
-1.623,0.0072
-1.573,0.0
-1.523,0.0423
-1.473,0.0134
-1.423,0.0
-1.373,0.0
-1.323,0.0
-1.273,0.0678
-1.223,0.0013
-1.173,0.1198
-1.123,0.0
-1.073,0.0
-1.023,0.0
-0.973,0.0
-0.923,0.0
-0.873,0.0168
-0.823,0.032
-0.773,0.0
-0.723,0.0564
-0.673,0.0
-0.623,0.2482
-0.573,0.5633
-0.523,0.7258
-0.473,0.846
-0.423,0.9873
-0.373,1.0763
-0.323,1.3237
-0.273,1.5023
-0.223,1.5903
-0.173,1.772
-0.123,1.9045
-0.073,1.997
-0.023,2.0745
0.027,2.2235
0.077,2.3318
0.127,2.3206
0.177,2.558
0.227,2.5376
0.277,2.615
0.327,2.724
0.377,2.7556
0.427,2.8586
0.477,2.8708
0.527,2.865
0.577,2.9742
0.627,2.9242
0.677,3.0454
0.727,3.0762
0.777,3.1027
0.827,3.143
0.877,3.0658
0.927,3.1812
0.977,3.2513
1.027,3.2836
1.077,3.2353
1.127,3.4049
1.177,3.2944
1.227,3.4326
1.277,3.4198
1.327,3.3725
1.377,3.5444
1.427,3.3757
1.477,3.5263
1.527,3.5481
1.577,3.4587
1.627,3.6039
1.677,3.5149
1.727,3.5627
1.777,3.5742
1.827,3.562
1.877,3.6337
1.927,3.6443
1.977,3.4954
2.027,3.6985
2.077,3.522
2.127,3.7017
2.177,3.7173
2.227,3.5868
2.277,3.6386
2.327,3.6035
2.377,3.6679
2.427,3.6701
2.477,3.7464
2.527,3.7874
2.577,3.8001
2.627,3.6838
2.677,3.7129
2.727,3.6267
2.777,3.6884
2.827,3.8062
2.877,3.8533
2.927,3.6797
2.977,3.7259
