voltage_V,current_uA
-3.09,0.0364
-3.04,0.0038
-2.99,0.005
-2.94,0.0
-2.89,0.0
-2.84,0.0102
-2.79,0.0
-2.74,0.0
-2.69,0.0245
-2.64,0.0056
-2.59,0.0
-2.54,0.0006
-2.49,0.0115
-2.44,0.0
-2.39,0.0
-2.34,0.0065
-2.29,0.0
-2.24,0.0135
-2.19,0.0
-2.14,0.034
-2.09,0.0156
-2.04,0.1211
-1.99,0.25
-1.94,0.3703
-1.89,0.4399
-1.84,0.4305
-1.79,0.5282
-1.74,0.6236
-1.69,0.7139
-1.64,0.7943
-1.59,0.8132
-1.54,0.8993
-1.49,0.9205
-1.44,0.9741
-1.39,0.9935
-1.34,1.0522
-1.29,1.078
-1.24,1.1278
-1.19,1.2298
-1.14,1.1966
-1.09,1.3456
-1.04,1.3039
-0.99,1.3208
-0.94,1.3119
-0.89,1.3873
-0.84,1.3677
-0.79,1.412
-0.74,1.5125
-0.69,1.4437
-0.64,1.5026
-0.59,1.4583
-0.54,1.4963
-0.49,1.571
-0.44,1.5061
-0.39,1.6002
-0.34,1.5766
-0.29,1.5469
-0.24,1.598
-0.19,1.6203
-0.14,1.6194
-0.09,1.5571
-0.04,1.5946
0.01,1.6197
0.06,1.6343
0.11,1.6657
0.16,1.6593
0.21,1.6172
0.26,1.6814
0.31,1.6963
0.36,1.7016
0.41,1.7256
0.46,1.724
0.51,1.718
0.56,1.7067
0.61,1.6602
0.66,1.735
0.71,1.7333
0.76,1.7409
0.81,1.6951
0.86,1.7067
0.91,1.7822
0.96,1.7511
1.01,1.7797
1.06,1.7629
1.11,1.7675
1.16,1.802
1.21,1.7584
1.26,1.7829
1.31,1.7687
1.36,1.7737
1.41,1.7819
1.46,1.8034
1.51,1.7842
1.56,1.8453
1.61,1.7781
1.66,1.8051
1.71,1.8004
1.76,1.8662
1.81,1.8284
1.86,1.8594
1.91,1.7797
1.96,1.8409
2.01,1.8647
2.06,1.8412
2.11,1.8768
2.16,1.8277
2.21,1.8943
2.26,1.9266
2.31,1.8418
2.36,1.8419
2.41,1.9074
2.46,1.9144
2.51,1.8478
2.56,1.8539
2.61,1.8611
2.66,1.8286
2.71,1.8453
2.76,1.845
2.81,1.8552
2.86,1.8819
2.91,1.8931
2.96,1.9389
3.01,1.8571
