voltage_V,current_uA
-3.09,0.0086
-3.04,0.006
-2.99,0.0187
-2.94,0.0
-2.89,0.0
-2.84,0.0
-2.79,0.0
-2.74,0.0068
-2.69,0.0136
-2.64,0.0
-2.59,0.0157
-2.54,0.0244
-2.49,0.0074
-2.44,0.0338
-2.39,0.0
-2.34,0.0
-2.29,0.0
-2.24,0.0269
-2.19,0.0118
-2.14,0.0
-2.09,0.005
-2.04,0.0361
-1.99,0.1528
-1.94,0.16
-1.89,0.2052
-1.84,0.2587
-1.79,0.2939
-1.74,0.3261
-1.69,0.3423
-1.64,0.3971
-1.59,0.4525
-1.54,0.4708
-1.49,0.5014
-1.44,0.4879
-1.39,0.5022
-1.34,0.5391
-1.29,0.5623
-1.24,0.5997
-1.19,0.5671
-1.14,0.6415
-1.09,0.6265
-1.04,0.6361
-0.99,0.6391
-0.94,0.6403
-0.89,0.6969
-0.84,0.6947
-0.79,0.6808
-0.74,0.6907
-0.69,0.7174
-0.64,0.7624
-0.59,0.7361
-0.54,0.7217
-0.49,0.7518
-0.44,0.7585
-0.39,0.7216
-0.34,0.7757
-0.29,0.7786
-0.24,0.8011
-0.19,0.8274
-0.14,0.8197
-0.09,0.7996
-0.04,0.7894
0.01,0.8603
0.06,0.8194
0.11,0.8229
0.16,0.8263
0.21,0.8342
0.26,0.8318
0.31,0.8277
0.36,0.8317
0.41,0.8444
0.46,0.8385
0.51,0.8386
0.56,0.8564
0.61,0.8529
0.66,0.8875
0.71,0.8155
0.76,0.8856
0.81,0.891
0.86,0.8339
0.91,0.8676
0.96,0.8695
1.01,0.8533
1.06,0.867
1.11,0.8633
1.16,0.917
1.21,0.9045
1.26,0.9127
1.31,0.905
1.36,0.8737
1.41,0.8866
1.46,0.9069
1.51,0.878
1.56,0.9147
1.61,0.8995
1.66,0.8989
1.71,0.9202
1.76,0.9172
1.81,0.9045
1.86,0.9335
1.91,0.8949
1.96,0.9271
2.01,0.9283
2.06,0.9137
2.11,0.9267
2.16,0.8999
2.21,0.9405
2.26,0.9221
2.31,0.9175
2.36,0.9472
2.41,0.9171
2.46,0.9058
2.51,0.9045
2.56,0.9448
2.61,0.9121
2.66,0.9681
2.71,0.9003
2.76,0.9696
2.81,0.9441
2.86,0.9398
2.91,0.9329
2.96,0.9511
3.01,0.9444
