voltage_V,current_uA
-4.33,0.0432
-4.28,0.0148
-4.23,0.039
-4.18,0.0302
-4.13,0.0
-4.08,0.0
-4.03,0.0359
-3.98,0.0293
-3.93,0.0
-3.88,0.0056
-3.83,0.0613
-3.78,0.0
-3.73,0.0263
-3.68,0.0
-3.63,0.0
-3.58,0.0527
-3.53,0.0396
-3.48,0.039
-3.43,0.0627
-3.38,0.001
-3.33,0.0327
-3.28,0.1474
-3.23,0.3289
-3.18,0.4476
-3.13,0.5893
-3.08,0.7349
-3.03,0.7805
-2.98,1.0258
-2.93,0.9754
-2.88,1.0571
-2.83,1.2564
-2.78,1.3185
-2.73,1.3848
-2.68,1.4544
-2.63,1.4884
-2.58,1.5064
-2.53,1.6096
-2.48,1.6262
-2.43,1.755
-2.38,1.7473
-2.33,1.758
-2.28,1.8228
-2.23,1.8961
-2.18,1.8849
-2.13,1.906
-2.08,1.9886
-2.03,2.0183
-1.98,2.0101
-1.93,2.0381
-1.88,2.0967
-1.83,2.0394
-1.78,2.0635
-1.73,2.1175
-1.68,2.1616
-1.63,2.2055
-1.58,2.2793
-1.53,2.2666
-1.48,2.234
-1.43,2.2562
-1.38,2.2237
-1.33,2.285
-1.28,2.2855
-1.23,2.3278
-1.18,2.285
-1.13,2.3616
-1.08,2.4217
-1.03,2.354
-0.98,2.3893
-0.93,2.4135
-0.88,2.3711
-0.83,2.4109
-0.78,2.4102
-0.73,2.4235
-0.68,2.3907
-0.63,2.4377
-0.58,2.4689
-0.53,2.523
-0.48,2.5076
-0.43,2.5729
-0.38,2.4405
-0.33,2.5269
-0.28,2.5014
-0.23,2.6051
-0.18,2.4685
-0.13,2.4742
-0.08,2.4928
-0.03,2.4266
0.02,2.5102
0.07,2.5058
0.12,2.5562
0.17,2.572
0.22,2.6522
0.27,2.6143
0.32,2.5474
0.37,2.5383
0.42,2.6113
0.47,2.5306
0.52,2.688
0.57,2.6628
0.62,2.5897
0.67,2.5359
0.72,2.6891
0.77,2.6245
0.82,2.6952
0.87,2.565
0.92,2.6184
0.97,2.6531
1.02,2.6607
1.07,2.6424
1.12,2.6993
1.17,2.6236
1.22,2.6734
1.27,2.6913
1.32,2.7155
1.37,2.7302
1.42,2.6472
1.47,2.6327
1.52,2.7727
1.57,2.7323
1.62,2.6853
1.67,2.8006
1.72,2.7365
1.77,2.7924
1.82,2.7437
1.87,2.8441
1.92,2.834
1.97,2.7424
2.02,2.8055
2.07,2.7942
2.12,2.8333
2.17,2.7257
2.22,2.8092
2.27,2.8313
2.32,2.7002
2.37,2.7319
2.42,2.6949
2.47,2.7838
2.52,2.8351
2.57,2.8767
2.62,2.8119
2.67,2.8903
2.72,2.7496
2.77,2.7378
2.82,2.8204
2.87,2.8451
2.92,2.8286
2.97,2.7343
3.02,2.8327
