voltage_V,current_uA
-4.33,0.0089
-4.28,0.0
-4.23,0.0117
-4.18,0.0274
-4.13,0.0
-4.08,0.0
-4.03,0.0284
-3.98,0.0138
-3.93,0.0
-3.88,0.0098
-3.83,0.0
-3.78,0.0
-3.73,0.0044
-3.68,0.0
-3.63,0.0
-3.58,0.0
-3.53,0.0
-3.48,0.0057
-3.43,0.0
-3.38,0.0
-3.33,0.0264
-3.28,0.05
-3.23,0.1057
-3.18,0.1256
-3.13,0.1851
-3.08,0.2375
-3.03,0.2525
-2.98,0.3152
-2.93,0.3304
-2.88,0.3665
-2.83,0.3895
-2.78,0.4602
-2.73,0.4514
-2.68,0.4557
-2.63,0.5111
-2.58,0.4945
-2.53,0.5391
-2.48,0.5176
-2.43,0.5455
-2.38,0.5883
-2.33,0.6125
-2.28,0.6158
-2.23,0.6233
-2.18,0.6319
-2.13,0.6219
-2.08,0.646
-2.03,0.6606
-1.98,0.6972
-1.93,0.6931
-1.88,0.6634
-1.83,0.7088
-1.78,0.7034
-1.73,0.7051
-1.68,0.7349
-1.63,0.7488
-1.58,0.7529
-1.53,0.7267
-1.48,0.7416
-1.43,0.7583
-1.38,0.7748
-1.33,0.7533
-1.28,0.7631
-1.23,0.7509
-1.18,0.7534
-1.13,0.7935
-1.08,0.8071
-1.03,0.7851
-0.98,0.8081
-0.93,0.8
-0.88,0.7852
-0.83,0.8066
-0.78,0.8309
-0.73,0.8056
-0.68,0.8374
-0.63,0.765
-0.58,0.8298
-0.53,0.8194
-0.48,0.8151
-0.43,0.8248
-0.38,0.79
-0.33,0.8244
-0.28,0.8373
-0.23,0.8599
-0.18,0.8264
-0.13,0.8236
-0.08,0.8315
-0.03,0.8593
0.02,0.8511
0.07,0.8379
0.12,0.8589
0.17,0.8536
0.22,0.8715
0.27,0.8436
0.32,0.8525
0.37,0.8534
0.42,0.8362
0.47,0.87
0.52,0.8714
0.57,0.8688
0.62,0.8665
0.67,0.8472
0.72,0.8671
0.77,0.8705
0.82,0.8641
0.87,0.8776
0.92,0.8897
0.97,0.9182
1.02,0.8893
1.07,0.8926
1.12,0.8885
1.17,0.8571
1.22,0.8929
1.27,0.8963
1.32,0.9413
1.37,0.8952
1.42,0.9058
1.47,0.9015
1.52,0.8827
1.57,0.926
1.62,0.9206
1.67,0.923
1.72,0.894
1.77,0.9372
1.82,0.8883
1.87,0.9256
1.92,0.956
1.97,0.9003
2.02,0.9094
2.07,0.9229
2.12,0.9135
2.17,0.8961
2.22,0.9266
2.27,0.9077
2.32,0.9367
2.37,0.913
2.42,0.9588
2.47,0.9182
2.52,0.9278
2.57,0.9495
2.62,0.914
2.67,0.9415
2.72,0.9621
2.77,0.9109
2.82,0.9444
2.87,0.9469
2.92,0.9575
2.97,0.9223
3.02,0.9219
