# material: CdS
# radius_nm: 1.00
# wavelength_nm, intensity_au
300.0000,0.0000
301.0018,0.0047
302.0036,0.0159
303.0055,0.0000
304.0073,0.0000
305.0091,0.0000
306.0109,0.0159
307.0128,0.0000
308.0146,0.0000
309.0164,0.0197
310.0182,0.0000
311.0200,0.0006
312.0219,0.0000
313.0237,0.0102
314.0255,0.0094
315.0273,0.0219
316.0291,0.0000
317.0310,0.0054
318.0328,0.0000
319.0346,0.0091
320.0364,0.0468
321.0383,0.0144
322.0401,0.0000
323.0419,0.0167
324.0437,0.0041
325.0455,0.0174
326.0474,0.0648
327.0492,0.0317
328.0510,0.0775
329.0528,0.0839
330.0546,0.0864
331.0565,0.1169
332.0583,0.1108
333.0601,0.1655
334.0619,0.1558
335.0638,0.1852
336.0656,0.2081
337.0674,0.2594
338.0692,0.2860
339.0710,0.2543
340.0729,0.3454
341.0747,0.3410
342.0765,0.4062
343.0783,0.4496
344.0801,0.4847
345.0820,0.5428
346.0838,0.5888
347.0856,0.6009
348.0874,0.6420
349.0893,0.6988
350.0911,0.7090
351.0929,0.7693
352.0947,0.8429
353.0965,0.8205
354.0984,0.8759
355.1002,0.8997
356.1020,0.9770
357.1038,0.9475
358.1056,0.9659
359.1075,0.9677
360.1093,0.9966
361.1111,1.0053
362.1129,0.9808
363.1148,1.0122
364.1166,0.9871
365.1184,0.9834
366.1202,0.9402
367.1220,0.9280
368.1239,0.8916
369.1257,0.8943
370.1275,0.8339
371.1293,0.7956
372.1311,0.7480
373.1330,0.7071
374.1348,0.6812
375.1366,0.6512
376.1384,0.5792
377.1403,0.5536
378.1421,0.5134
379.1439,0.4764
380.1457,0.3958
381.1475,0.3736
382.1494,0.3285
383.1512,0.3220
384.1530,0.2708
385.1548,0.2484
386.1566,0.2061
387.1585,0.1957
388.1603,0.1572
389.1621,0.1729
390.1639,0.1473
391.1658,0.1227
392.1676,0.0975
393.1694,0.0484
394.1712,0.0672
395.1730,0.0499
396.1749,0.0602
