# material: CdSe
# radius_nm: 4.75
# wavelength_nm, intensity_au
300.0000,0.0000
301.0018,0.0000
302.0036,0.0000
303.0055,0.0262
304.0073,0.0000
305.0091,0.0031
306.0109,0.0115
307.0128,0.0000
308.0146,0.0039
309.0164,0.0055
310.0182,0.0000
311.0200,0.0051
312.0219,0.0000
313.0237,0.0026
314.0255,0.0007
315.0273,0.0052
316.0291,0.0267
317.0310,0.0000
318.0328,0.0000
319.0346,0.0133
320.0364,0.0096
321.0383,0.0092
322.0401,0.0551
323.0419,0.0123
324.0437,0.0226
325.0455,0.0000
326.0474,0.0000
327.0492,0.0000
328.0510,0.0142
329.0528,0.0081
330.0546,0.0081
331.0565,0.0000
332.0583,0.0000
333.0601,0.0000
334.0619,0.0145
335.0638,0.0168
336.0656,0.0000
337.0674,0.0152
338.0692,0.0000
339.0710,0.0094
340.0729,0.0000
341.0747,0.0313
342.0765,0.0000
343.0783,0.0036
344.0801,0.0121
345.0820,0.0000
346.0838,0.0000
347.0856,0.0000
348.0874,0.0000
349.0893,0.0000
350.0911,0.0222
351.0929,0.0000
352.0947,0.0113
353.0965,0.0063
354.0984,0.0000
355.1002,0.0104
356.1020,0.0000
357.1038,0.0126
358.1056,0.0000
359.1075,0.0002
360.1093,0.0000
361.1111,0.0024
362.1129,0.0185
363.1148,0.0000
364.1166,0.0000
365.1184,0.0091
366.1202,0.0096
367.1220,0.0000
368.1239,0.0403
369.1257,0.0106
370.1275,0.0139
371.1293,0.0000
372.1311,0.0000
373.1330,0.0135
374.1348,0.0000
375.1366,0.0109
376.1384,0.0000
377.1403,0.0048
378.1421,0.0000
379.1439,0.0173
380.1457,0.0000
381.1475,0.0449
382.1494,0.0448
383.1512,0.0327
384.1530,0.0255
385.1548,0.0000
386.1566,0.0233
387.1585,0.0000
388.1603,0.0000
389.1621,0.0301
390.1639,0.0226
391.1658,0.0000
392.1676,0.0000
393.1694,0.0000
394.1712,0.0000
395.1730,0.0189
396.1749,0.0000
397.1767,0.0057
398.1785,0.0000
399.1803,0.0000
400.1821,0.0048
401.1840,0.0000
402.1858,0.0168
403.1876,0.0000
404.1894,0.0000
405.1913,0.0000
406.1931,0.0000
407.1949,0.0360
408.1967,0.0417
409.1985,0.0019
410.2004,0.0000
411.2022,0.0000
412.2040,0.0175
413.2058,0.0000
414.2077,0.0048
415.2095,0.0000
416.2113,0.0000
417.2131,0.0000
418.2149,0.0059
419.2168,0.0000
420.2186,0.0090
421.2204,0.0000
422.2222,0.0025
423.2240,0.0277
424.2259,0.0000
425.2277,0.0184
426.2295,0.0000
427.2313,0.0000
428.2332,0.0006
429.2350,0.0385
430.2368,0.0000
431.2386,0.0000
432.2404,0.0291
433.2423,0.0000
434.2441,0.0000
435.2459,0.0066
436.2477,0.0037
437.2495,0.0313
438.2514,0.0090
439.2532,0.0266
440.2550,0.0000
441.2568,0.0000
442.2587,0.0000
443.2605,0.0000
444.2623,0.0097
445.2641,0.0000
446.2659,0.0000
447.2678,0.0100
448.2696,0.0000
449.2714,0.0154
450.2732,0.0000
451.2750,0.0232
452.2769,0.0000
453.2787,0.0126
454.2805,0.0036
455.2823,0.0149
456.2842,0.0022
457.2860,0.0000
458.2878,0.0202
459.2896,0.0000
460.2914,0.0158
461.2933,0.0138
462.2951,0.0000
463.2969,0.0000
464.2987,0.0131
465.3005,0.0000
466.3024,0.0187
467.3042,0.0000
468.3060,0.0205
469.3078,0.0085
470.3097,0.0058
471.3115,0.0000
472.3133,0.0046
473.3151,0.0239
474.3169,0.0000
475.3188,0.0106
476.3206,0.0009
477.3224,0.0025
478.3242,0.0345
479.3260,0.0240
480.3279,0.0016
481.3297,0.0043
482.3315,0.0000
483.3333,0.0000
484.3352,0.0062
485.3370,0.0170
486.3388,0.0150
487.3406,0.0000
488.3424,0.0195
489.3443,0.0000
490.3461,0.0000
491.3479,0.0267
492.3497,0.0293
493.3515,0.0053
494.3534,0.0142
495.3552,0.0153
496.3570,0.0279
