# material: CdS
# radius_nm: 1.30
# wavelength_nm, intensity_au
300.0000,0.0000
301.0018,0.0453
302.0036,0.0028
303.0055,0.0173
304.0073,0.0000
305.0091,0.0000
306.0109,0.0285
307.0128,0.0000
308.0146,0.0070
309.0164,0.0089
310.0182,0.0015
311.0200,0.0000
312.0219,0.0000
313.0237,0.0000
314.0255,0.0162
315.0273,0.0114
316.0291,0.0000
317.0310,0.0000
318.0328,0.0421
319.0346,0.0000
320.0364,0.0000
321.0383,0.0000
322.0401,0.0000
323.0419,0.0220
324.0437,0.0129
325.0455,0.0006
326.0474,0.0101
327.0492,0.0097
328.0510,0.0422
329.0528,0.0052
330.0546,0.0000
331.0565,0.0042
332.0583,0.0000
333.0601,0.0000
334.0619,0.0224
335.0638,0.0128
336.0656,0.0069
337.0674,0.0143
338.0692,0.0237
339.0710,0.0306
340.0729,0.0117
341.0747,0.0000
342.0765,0.0000
343.0783,0.0251
344.0801,0.0173
345.0820,0.0118
346.0838,0.0000
347.0856,0.0328
348.0874,0.0115
349.0893,0.0197
350.0911,0.0237
351.0929,0.0391
352.0947,0.0133
353.0965,0.0548
354.0984,0.0376
355.1002,0.0481
356.1020,0.0907
357.1038,0.0659
358.1056,0.1181
359.1075,0.1189
360.1093,0.1023
361.1111,0.1830
362.1129,0.1846
363.1148,0.2112
364.1166,0.2507
365.1184,0.2901
366.1202,0.2960
367.1220,0.3383
368.1239,0.3695
369.1257,0.3932
370.1275,0.4081
371.1293,0.4853
372.1311,0.5509
373.1330,0.5781
374.1348,0.5886
375.1366,0.6754
376.1384,0.6902
377.1403,0.6966
378.1421,0.7993
379.1439,0.7985
380.1457,0.8889
381.1475,0.9092
382.1494,0.9112
383.1512,0.9505
384.1530,1.0112
385.1548,0.9994
386.1566,0.9961
387.1585,1.0560
388.1603,1.0023
389.1621,1.0082
390.1639,0.9693
391.1658,0.9410
392.1676,0.9505
393.1694,0.9343
394.1712,0.9132
395.1730,0.8476
396.1749,0.8552
397.1767,0.7886
398.1785,0.7782
399.1803,0.7437
400.1821,0.6747
401.1840,0.6201
402.1858,0.6267
403.1876,0.5699
404.1894,0.5125
405.1913,0.4969
406.1931,0.4284
407.1949,0.3751
408.1967,0.3301
409.1985,0.3125
410.2004,0.2968
411.2022,0.2781
412.2040,0.2220
413.2058,0.2193
414.2077,0.1666
415.2095,0.1332
416.2113,0.1029
417.2131,0.1012
418.2149,0.0701
419.2168,0.1217
420.2186,0.0780
421.2204,0.0566
422.2222,0.0836
423.2240,0.0150
424.2259,0.0314
425.2277,0.0683
426.2295,0.0204
427.2313,0.0680
428.2332,0.0313
429.2350,0.0387
430.2368,0.0369
431.2386,0.0082
432.2404,0.0000
433.2423,0.0029
434.2441,0.0000
435.2459,0.0019
436.2477,0.0024
437.2495,0.0357
438.2514,0.0134
439.2532,0.0484
440.2550,0.0000
441.2568,0.0000
442.2587,0.0000
443.2605,0.0302
444.2623,0.0000
445.2641,0.0000
446.2659,0.0000
447.2678,0.0000
448.2696,0.0000
449.2714,0.0400
450.2732,0.0000
451.2750,0.0035
452.2769,0.0000
453.2787,0.0000
454.2805,0.0000
455.2823,0.0000
456.2842,0.0068
457.2860,0.0284
458.2878,0.0190
459.2896,0.0000
460.2914,0.0198
461.2933,0.0095
462.2951,0.0000
463.2969,0.0036
464.2987,0.0114
465.3005,0.0009
466.3024,0.0096
467.3042,0.0000
468.3060,0.0399
469.3078,0.0000
470.3097,0.0116
471.3115,0.0073
472.3133,0.0129
473.3151,0.0000
474.3169,0.0234
475.3188,0.0000
476.3206,0.0000
477.3224,0.0000
478.3242,0.0025
479.3260,0.0000
480.3279,0.0360
481.3297,0.0210
482.3315,0.0365
483.3333,0.0344
484.3352,0.0000
485.3370,0.0000
486.3388,0.0000
487.3406,0.0000
488.3424,0.0353
489.3443,0.0000
490.3461,0.0000
491.3479,0.0000
492.3497,0.0075
493.3515,0.0257
494.3534,0.0000
495.3552,0.0000
496.3570,0.0297
497.3588,0.0147
498.3607,0.0000
499.3625,0.0341
500.3643,0.0000
501.3661,0.0186
502.3679,0.0000
503.3698,0.0121
504.3716,0.0000
505.3734,0.0000
506.3752,0.0147
507.3770,0.0000
508.3789,0.0251
509.3807,0.0244
510.3825,0.0000
511.3843,0.0165
512.3862,0.0000
513.3880,0.0011
514.3898,0.0131
515.3916,0.0000
516.3934,0.0157
517.3953,0.0000
518.3971,0.0000
519.3989,0.0141
520.4007,0.0000
521.4026,0.0000
522.4044,0.0208
523.4062,0.0022
524.4080,0.0000
525.4098,0.0171
526.4117,0.0000
527.4135,0.0000
528.4153,0.0000
529.4171,0.0181
530.4189,0.0000
531.4208,0.0000
532.4226,0.0128
533.4244,0.0161
534.4262,0.0000
