# material: CdTe
# radius_nm: 2.50
# wavelength_nm, intensity_au
300.0000,0.0000
301.0018,0.0000
302.0036,0.0000
303.0055,0.0034
304.0073,0.0006
305.0091,0.0111
306.0109,0.0000
307.0128,0.0002
308.0146,0.0276
309.0164,0.0415
310.0182,0.0256
311.0200,0.0000
312.0219,0.0090
313.0237,0.0000
314.0255,0.0057
315.0273,0.0000
316.0291,0.0000
317.0310,0.0000
318.0328,0.0145
319.0346,0.0058
320.0364,0.0081
321.0383,0.0043
322.0401,0.0081
323.0419,0.0106
324.0437,0.0000
325.0455,0.0017
326.0474,0.0349
327.0492,0.0028
328.0510,0.0009
329.0528,0.0021
330.0546,0.0000
331.0565,0.0000
332.0583,0.0042
333.0601,0.0000
334.0619,0.0000
335.0638,0.0000
336.0656,0.0022
337.0674,0.0117
338.0692,0.0000
339.0710,0.0000
340.0729,0.0118
341.0747,0.0024
342.0765,0.0000
343.0783,0.0155
344.0801,0.0000
345.0820,0.0209
346.0838,0.0000
347.0856,0.0000
348.0874,0.0036
349.0893,0.0000
350.0911,0.0000
351.0929,0.0000
352.0947,0.0000
353.0965,0.0000
354.0984,0.0000
355.1002,0.0254
356.1020,0.0000
357.1038,0.0000
358.1056,0.0000
359.1075,0.0154
360.1093,0.0000
361.1111,0.0027
362.1129,0.0000
363.1148,0.0000
364.1166,0.0000
365.1184,0.0000
366.1202,0.0002
367.1220,0.0047
368.1239,0.0000
369.1257,0.0000
370.1275,0.0178
371.1293,0.0000
372.1311,0.0000
373.1330,0.0000
374.1348,0.0000
375.1366,0.0052
376.1384,0.0000
377.1403,0.0000
378.1421,0.0265
379.1439,0.0184
380.1457,0.0000
381.1475,0.0000
382.1494,0.0119
383.1512,0.0000
384.1530,0.0300
385.1548,0.0123
386.1566,0.0060
387.1585,0.0000
388.1603,0.0098
389.1621,0.0000
390.1639,0.0261
391.1658,0.0084
392.1676,0.0000
393.1694,0.0161
394.1712,0.0448
395.1730,0.0000
396.1749,0.0110
397.1767,0.0000
398.1785,0.0017
399.1803,0.0000
400.1821,0.0000
401.1840,0.0009
402.1858,0.0360
403.1876,0.0000
404.1894,0.0000
405.1913,0.0258
406.1931,0.0000
407.1949,0.0000
408.1967,0.0000
409.1985,0.0000
410.2004,0.0000
411.2022,0.0000
412.2040,0.0000
413.2058,0.0024
414.2077,0.0000
415.2095,0.0000
416.2113,0.0000
417.2131,0.0000
418.2149,0.0000
419.2168,0.0000
420.2186,0.0017
421.2204,0.0213
422.2222,0.0026
423.2240,0.0000
424.2259,0.0000
425.2277,0.0000
426.2295,0.0000
427.2313,0.0000
428.2332,0.0000
429.2350,0.0000
430.2368,0.0000
431.2386,0.0198
432.2404,0.0218
433.2423,0.0000
434.2441,0.0000
435.2459,0.0000
436.2477,0.0162
437.2495,0.0029
438.2514,0.0019
439.2532,0.0107
440.2550,0.0000
441.2568,0.0273
442.2587,0.0000
443.2605,0.0000
444.2623,0.0000
445.2641,0.0246
446.2659,0.0000
447.2678,0.0190
448.2696,0.0000
449.2714,0.0000
450.2732,0.0132
451.2750,0.0000
452.2769,0.0165
453.2787,0.0070
454.2805,0.0000
455.2823,0.0000
456.2842,0.0000
457.2860,0.0070
458.2878,0.0378
459.2896,0.0000
460.2914,0.0107
461.2933,0.0005
462.2951,0.0005
463.2969,0.0000
464.2987,0.0000
465.3005,0.0067
466.3024,0.0000
467.3042,0.0000
468.3060,0.0203
469.3078,0.0020
470.3097,0.0000
471.3115,0.0268
472.3133,0.0000
473.3151,0.0255
474.3169,0.0000
475.3188,0.0042
476.3206,0.0000
477.3224,0.0000
478.3242,0.0263
479.3260,0.0371
480.3279,0.0000
481.3297,0.0067
482.3315,0.0011
483.3333,0.0346
484.3352,0.0000
485.3370,0.0075
486.3388,0.0000
487.3406,0.0000
488.3424,0.0000
489.3443,0.0370
490.3461,0.0000
491.3479,0.0158
492.3497,0.0240
493.3515,0.0000
494.3534,0.0024
495.3552,0.0000
496.3570,0.0000
