# material: CdTe
# radius_nm: 3.25
# wavelength_nm, intensity_au
300.0000,0.0058
301.0018,0.0000
302.0036,0.0276
303.0055,0.0250
304.0073,0.0240
305.0091,0.0000
306.0109,0.0088
307.0128,0.0042
308.0146,0.0000
309.0164,0.0122
310.0182,0.0052
311.0200,0.0136
312.0219,0.0000
313.0237,0.0300
314.0255,0.0156
315.0273,0.0109
316.0291,0.0099
317.0310,0.0231
318.0328,0.0204
319.0346,0.0000
320.0364,0.0198
321.0383,0.0035
322.0401,0.0383
323.0419,0.0220
324.0437,0.0000
325.0455,0.0466
326.0474,0.0000
327.0492,0.0127
328.0510,0.0000
329.0528,0.0376
330.0546,0.0051
331.0565,0.0000
332.0583,0.0000
333.0601,0.0000
334.0619,0.0000
335.0638,0.0000
336.0656,0.0000
337.0674,0.0054
338.0692,0.0078
339.0710,0.0000
340.0729,0.0000
341.0747,0.0062
342.0765,0.0106
343.0783,0.0146
344.0801,0.0110
345.0820,0.0315
346.0838,0.0199
347.0856,0.0536
348.0874,0.0620
349.0893,0.0000
350.0911,0.0000
351.0929,0.0000
352.0947,0.0101
353.0965,0.0000
354.0984,0.0141
355.1002,0.0000
356.1020,0.0000
357.1038,0.0000
358.1056,0.0000
359.1075,0.0169
360.1093,0.0000
361.1111,0.0000
362.1129,0.0114
363.1148,0.0000
364.1166,0.0223
365.1184,0.0000
366.1202,0.0000
367.1220,0.0061
368.1239,0.0081
369.1257,0.0000
370.1275,0.0269
371.1293,0.0385
372.1311,0.0000
373.1330,0.0297
374.1348,0.0000
375.1366,0.0215
376.1384,0.0000
377.1403,0.0195
378.1421,0.0000
379.1439,0.0000
380.1457,0.0000
381.1475,0.0000
382.1494,0.0366
383.1512,0.0000
384.1530,0.0422
385.1548,0.0000
386.1566,0.0298
387.1585,0.0000
388.1603,0.0000
389.1621,0.0000
390.1639,0.0308
391.1658,0.0037
392.1676,0.0000
393.1694,0.0000
394.1712,0.0000
395.1730,0.0187
396.1749,0.0161
397.1767,0.0000
398.1785,0.0000
399.1803,0.0143
400.1821,0.0000
401.1840,0.0092
402.1858,0.0075
403.1876,0.0000
404.1894,0.0080
405.1913,0.0020
406.1931,0.0099
407.1949,0.0000
408.1967,0.0123
409.1985,0.0205
410.2004,0.0064
411.2022,0.0120
412.2040,0.0000
413.2058,0.0178
414.2077,0.0013
415.2095,0.0000
416.2113,0.0164
417.2131,0.0000
418.2149,0.0057
419.2168,0.0000
420.2186,0.0000
421.2204,0.0034
422.2222,0.0000
423.2240,0.0102
424.2259,0.0011
425.2277,0.0000
426.2295,0.0268
427.2313,0.0041
428.2332,0.0126
429.2350,0.0283
430.2368,0.0280
431.2386,0.0116
432.2404,0.0000
433.2423,0.0000
434.2441,0.0041
435.2459,0.0219
436.2477,0.0071
437.2495,0.0000
438.2514,0.0174
439.2532,0.0186
440.2550,0.0000
441.2568,0.0198
442.2587,0.0126
443.2605,0.0000
444.2623,0.0254
445.2641,0.0000
446.2659,0.0000
447.2678,0.0000
448.2696,0.0000
449.2714,0.0061
450.2732,0.0262
451.2750,0.0250
452.2769,0.0145
453.2787,0.0000
454.2805,0.0000
455.2823,0.0033
456.2842,0.0000
457.2860,0.0000
458.2878,0.0381
459.2896,0.0021
460.2914,0.0108
461.2933,0.0198
462.2951,0.0011
463.2969,0.0518
464.2987,0.0000
465.3005,0.0000
466.3024,0.0000
467.3042,0.0313
468.3060,0.0160
469.3078,0.0000
470.3097,0.0000
471.3115,0.0277
472.3133,0.0072
473.3151,0.0282
474.3169,0.0000
475.3188,0.0102
476.3206,0.0060
477.3224,0.0000
478.3242,0.0000
479.3260,0.0000
480.3279,0.0099
481.3297,0.0152
482.3315,0.0198
483.3333,0.0133
484.3352,0.0000
485.3370,0.0310
486.3388,0.0178
487.3406,0.0278
488.3424,0.0290
489.3443,0.0000
490.3461,0.0078
491.3479,0.0155
492.3497,0.0000
493.3515,0.0000
494.3534,0.0000
495.3552,0.0000
496.3570,0.0000
497.3588,0.0000
498.3607,0.0030
499.3625,0.0000
500.3643,0.0236
501.3661,0.0403
502.3679,0.0091
503.3698,0.0000
504.3716,0.0129
505.3734,0.0002
506.3752,0.0000
507.3770,0.0000
508.3789,0.0000
509.3807,0.0000
510.3825,0.0161
511.3843,0.0102
512.3862,0.0365
513.3880,0.0135
514.3898,0.0085
515.3916,0.0000
516.3934,0.0000
517.3953,0.0000
518.3971,0.0000
519.3989,0.0000
520.4007,0.0000
521.4026,0.0320
522.4044,0.0074
523.4062,0.0000
524.4080,0.0080
525.4098,0.0000
526.4117,0.0056
527.4135,0.0255
528.4153,0.0000
529.4171,0.0000
530.4189,0.0000
531.4208,0.0256
532.4226,0.0052
533.4244,0.0000
534.4262,0.0474
535.4281,0.0000
536.4299,0.0000
537.4317,0.0000
538.4335,0.0000
539.4353,0.0000
540.4372,0.0127
541.4390,0.0258
542.4408,0.0000
543.4426,0.0000
544.4444,0.0096
545.4463,0.0102
546.4481,0.0048
547.4499,0.0055
548.4517,0.0000
549.4536,0.0020
550.4554,0.0000
551.4572,0.0214
552.4590,0.0446
553.4608,0.0036
554.4627,0.0000
555.4645,0.0051
556.4663,0.0000
557.4681,0.0153
558.4699,0.0088
559.4718,0.0000
560.4736,0.0180
561.4754,0.0004
562.4772,0.0000
563.4791,0.0070
564.4809,0.0047
565.4827,0.0192
566.4845,0.0166
567.4863,0.0000
568.4882,0.0000
569.4900,0.0000
570.4918,0.0073
571.4936,0.0097
572.4954,0.0060
573.4973,0.0000
574.4991,0.0199
575.5009,0.0000
576.5027,0.0496
577.5046,0.0153
578.5064,0.0000
579.5082,0.0037
580.5100,0.0155
581.5118,0.0000
582.5137,0.0000
583.5155,0.0000
584.5173,0.0108
585.5191,0.0000
586.5209,0.0000
587.5228,0.0107
