# material: CdSe
# radius_nm: 1.50
# wavelength_nm, intensity_au
300.0000,0.0226
301.0018,0.0123
302.0036,0.0120
303.0055,0.0104
304.0073,0.0000
305.0091,0.0140
306.0109,0.0000
307.0128,0.0000
308.0146,0.0261
309.0164,0.0168
310.0182,0.0297
311.0200,0.0000
312.0219,0.0000
313.0237,0.0000
314.0255,0.0020
315.0273,0.0016
316.0291,0.0227
317.0310,0.0000
318.0328,0.0070
319.0346,0.0000
320.0364,0.0090
321.0383,0.0001
322.0401,0.0000
323.0419,0.0000
324.0437,0.0000
325.0455,0.0000
326.0474,0.0354
327.0492,0.0000
328.0510,0.0000
329.0528,0.0000
330.0546,0.0000
331.0565,0.0000
332.0583,0.0000
333.0601,0.0276
334.0619,0.0000
335.0638,0.0258
336.0656,0.0012
337.0674,0.0007
338.0692,0.0000
339.0710,0.0001
340.0729,0.0344
341.0747,0.0000
342.0765,0.0000
343.0783,0.0000
344.0801,0.0003
345.0820,0.0138
346.0838,0.0095
347.0856,0.0000
348.0874,0.0204
349.0893,0.0206
350.0911,0.0037
351.0929,0.0193
352.0947,0.0055
353.0965,0.0000
354.0984,0.0140
355.1002,0.0022
356.1020,0.0000
357.1038,0.0295
358.1056,0.0000
359.1075,0.0000
360.1093,0.0000
361.1111,0.0000
362.1129,0.0000
363.1148,0.0000
364.1166,0.0000
365.1184,0.0000
366.1202,0.0491
367.1220,0.0360
368.1239,0.0000
369.1257,0.0000
370.1275,0.0000
371.1293,0.0000
372.1311,0.0000
373.1330,0.0000
374.1348,0.0000
375.1366,0.0000
376.1384,0.0000
377.1403,0.0030
378.1421,0.0073
379.1439,0.0083
380.1457,0.0000
381.1475,0.0171
382.1494,0.0000
383.1512,0.0127
384.1530,0.0000
385.1548,0.0000
386.1566,0.0000
387.1585,0.0073
388.1603,0.0123
389.1621,0.0000
390.1639,0.0306
391.1658,0.0202
392.1676,0.0000
393.1694,0.0150
394.1712,0.0387
395.1730,0.0392
396.1749,0.0000
397.1767,0.0000
398.1785,0.0297
399.1803,0.0000
400.1821,0.0000
401.1840,0.0000
402.1858,0.0084
403.1876,0.0000
404.1894,0.0000
405.1913,0.0000
406.1931,0.0000
407.1949,0.0000
408.1967,0.0456
409.1985,0.0060
